student_number,firstname,surname,email
1,Joe,Bloggs,jbloggs@bla.com
2,Ciara,Steel,csteel@bla.com
3,Shayne,Lavery,slavery@bla.com
4,Tiarna,Watson,twatson@bla.com
5,Aaron,Doherty,adoherty@bla.com
6,Beth,Hull,bhull@bla.com
7,Liam,Wilson,lwilson@bla.com
8,Eve,Red,ered@bla.com
9,Will,North,wnorth@bla.com
10,Megan,Cole,mcole@bla.com
11,Aodh,Walsh,awalsh@bla.com
12,Orlaith,Begley,obegley@bla.com
13,Vincent,Burns,vburns@bla.com
14,Kirstin,West,kwest@bla.com
15,Gavin,McAteer,gmcateer@bla.com
16,Aisling,Brown,abrown@bla.com
17,Gary,Lawlor,glawlor@bla.com
18,Zach,Meade,zmeade@bla.com
19,Sean,Clarke,sclarke@bla.com
20,Senan,Donnelly,sdonnelly@bla.com
